account_id,amount,currency,direction,channel,is_cash,is_international,counterparty_id,counterparty_country,occurred_at,balance_after
1001,9800,USD,in,atm,true,false,CP-A,US,2026-05-28 09:00:00,9800
1001,9700,USD,in,atm,true,false,CP-A,US,2026-05-28 14:00:00,19500
1001,9200,USD,in,atm,true,false,CP-A,US,2026-05-29 10:00:00,28700
1002,6000,USD,out,wire,false,true,CP-IR,IR,2026-05-29 02:00:00,40000
1002,5500,USD,out,wire,false,true,CP-RU,RU,2026-05-30 03:00:00,34500
1002,7000,USD,out,wire,false,true,CP-IR,IR,2026-05-30 04:00:00,27500
1003,15000,USD,in,wire,false,true,CP-X,GB,2026-05-29 01:00:00,15000
1003,7000,USD,out,wire,false,true,CP-Y,GB,2026-05-29 03:00:00,8000
1003,6000,USD,out,wire,false,false,CP-Z,US,2026-05-30 02:00:00,2000
1004,2000.00,USD,in,transfer,false,false,EMP-1,US,2026-05-27 09:00:00,4925
1004,120.50,USD,out,card,false,false,STORE-1,US,2026-05-29 12:00:00,4804.50
1004,75.00,USD,out,card,false,false,STORE-2,US,2026-05-30 08:30:00,4729.50
